Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2021,"Gerrit Cole","NYY",181.1,0.47153924,,,,,0.00808353,0.22196026,,0.15661839,,0.14179859,,,,"Gerrit Cole",13125,543037
2021,"Eduardo Rodriguez","BOS",157.2,0.399853,,0.17714076,,,0.11172363,0.08085263,,,,0.23042999,,,,"Eduardo Rodriguez",13164,593958
2021,"Zach Davies","CHC",148,0.02910361,,0.07528133,,,0.4951494,0.00582072,0.06946061,,,0.32518432,,,,"Zach Davies",13183,605200
2021,"Michael Fulmer","DET",69.2,0.17468354,,0.36962025,,,0.28270042,0.02953586,0.03037975,,,0.11308017,,,,"Michael Fulmer",13218,605242
2021,"Louis Head","TBR",35,0.52380952,,,,,,0.47069597,,,,0.00549451,,,,"Louis Head",13259,545343
2021,"Ross Stripling","TOR",101.1,0.50948992,,,,,,0.18386714,,0.15361803,,0.15302491,,,,"Ross Stripling",13273,548389
2021,"Danny Coulombe","MIN",34.1,0.25330813,,,,,0.07939509,0.41965974,0.01701323,0.23062382,,,,,,"Danny Coulombe",13293,543056
2021,"Adrian Sampson","CHC",35.1,0.19855596,,0.03790614,,,0.39169675,0.12815884,,,,0.24368231,,,,"Adrian Sampson",13339,592716
2021,"Luis Cessa","- - -",64.2,0.20915713,,0.00104058,,,0.10613944,0.56191467,0.00416233,,,0.11758585,,,,"Luis Cessa",13345,570666
2021,"Steven Matz","TOR",150.2,,,,,,0.51935862,0.08212749,0.1662104,,,0.23230348,,,,"Steven Matz",13361,571927
2021,"Dylan Floro","MIA",64,0.30762082,,,,,0.32156134,0.13104089,,,,0.23977695,,,,"Dylan Floro",13394,571670
2021,"Marcus Stroman","NYM",179,0.02631579,,0.15570175,0.16081871,,0.42178363,0.03472222,0.20065789,,,,,,,"Marcus Stroman",13431,573186
2021,"Pierce Johnson","SDP",58.2,0.31423114,,,,,0.01146132,,0.67430755,,,,,,,"Pierce Johnson",13435,572955
2021,"Taylor Rogers","MIN",40.1,,,,,,0.45839874,0.54160126,,,,,,,,"Taylor Rogers",13449,573124
2021,"Lucas Sims","CIN",47,0.41226994,,,,,,0.34355828,0.2404908,,,0.00368098,,,,"Lucas Sims",13470,608371
2021,"Daniel Norris","- - -",57,0.47469636,,,,,,0.22672065,,,,0.298583,,,,"Daniel Norris",13475,596057
2021,"Blake Snell","SDP",128.2,0.52559727,,,,,,0.24104096,0.13481229,,,0.09854949,,,,"Blake Snell",13543,605483
2021,"Richard Rodríguez","- - -",64.1,0.86122881,,,,,,0.13877119,,,,,,,,"Richard Rodriguez",13549,593144
2021,"Steven Okert","MIA",36,0.32113145,,,,,0.08319468,0.59567388,,,,,,,,"Steven Okert",13580,595345
2021,"Robert Stephenson","COL",46,0.49413299,,0.00912647,0.00782269,,,0.28292047,0.20599739,,,,,,,"Robert Stephenson",13594,596112
2021,"Jakob Junis","KCR",39.1,0.3476874,,0.1738437,,,0.0414673,0.39872408,0.00478469,,,0.03349282,,,,"Jakob Junis",13619,596001
2021,"Clay Holmes","- - -",70,0.00088968,,,,,0.58896797,0.28469751,0.12544484,,,,,,,"Clay Holmes",13649,605280
2021,"Jharel Cotton","TEX",30.2,0.46210721,,0.012939,,,,0.13863216,0.0831793,,,0.30314233,,,,"Jharel Cotton",13654,605194
2021,"John Gant","- - -",110,0.12911392,,0.19696203,,,0.36303797,0.03037975,0.0556962,,,0.22481013,,,,"John Gant",13684,607231
2021,"Jake Faria","ARI",32.2,0.56025039,,,0.20500782,,0.00156495,0.07511737,0.15805947,,,,,,,"Jake Faria",13699,607188
2021,"Max Fried","ATL",165.2,0.38115715,,,,,0.11297889,0.22791243,0.25645035,,,0.02150117,,,,"Max Fried",13743,608331
2021,"Tyler Duffey","MIN",62.1,0.44486692,,,,,0.0418251,0.00095057,,0.51235741,,,,,,"Tyler Duffey",13758,608648
2021,"Chris Stratton","PIT",79.1,0.48107715,,,,,0.00218341,0.13682678,0.25327511,,,0.12663755,,,,"Chris Stratton",13761,608717
2021,"Dominic Leone","SFG",53.2,0.47473561,,0.23619271,,,0.01292597,0.27614571,,,,,,,,"Dominic Leone",13763,608678
