Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2021,"Jameson Taillon","NYY",144.1,-2.45376449494212,,1.5857600748103902,,,-7.87442134886749,2.819227491106306,5.332958339069383,,,-8.455126426202789,,,"Jameson Taillon",11674,592791
2021,"Carlos Martinez","STL",82.1,-5.59403506192294,,-1.461130107278789,,,-9.634411138329803,5.8141717780126285,5.127529144287109,,,-8.943040004996366,,,"Carlos Martinez",11682,593372
2021,"Matt Harvey","BAL",127.2,-7.799256013569079,,,,,-9.975300755994073,-0.012123163227692005,5.989493736853967,,,-8.925715838738208,,,"Matt Harvey",11713,518774
2021,"Luke Jackson","ATL",63.2,-4.677737296895778,,,,,,0.06158506651937743,2.2625564919378522,,,,,,"Luke Jackson",11752,592426
2021,"Drew Smyly","ATL",126.2,4.6893939393939394,,2.696148120290865,,,4.341632359241002,,2.9829999287923177,2.3217686495841443,,,,,"Drew Smyly",11760,592767
2021,"Hansel Robles","- - -",69,-7.139013597099924,,,,,-10.364932537078857,-0.27647058587325246,3.3228366374969482,,,-8.248820391568271,,,"Hansel Robles",11801,570663
2021,"Héctor Neris","PHI",74.1,-6.072792002918956,,,-5.261185508199257,,-9.922353066161088,0.4501185850663619,,,,,,,"Hector Neris",11804,593576
2021,"Taijuan Walker","NYM",159,-5.9974690349659125,,1.6245578317081226,-8.309382984736194,,-9.474984261963773,1.9383602361150272,3.856951593715239,,,,,,"Taijuan Walker",11836,592836
2021,"Chris Martin","ATL",43.1,-5.041075240734012,,0.7694457632596375,-6.341254257574314,,-8.983986475134408,6.853250179650648,3.089917989877554,,,,,,"Chris Martin",11847,455119
2021,"Matt Andriese","- - -",48.1,-4.674117513020834,,0.7048817006024447,,,-10.281085867630807,,2.772756647180628,,,-2.965955878948343,,,"Matt Andriese",12022,542882
2021,"Kyle Hendricks","CHC",181,-4.522556936907435,,,,,-8.422400278413821,,7.77254924368351,,,-8.023623900425772,,,"Kyle Hendricks",12049,543294
2021,"Yimi García","- - -",57.2,-4.628879123263889,,,,,-10.455628734523968,1.0786743432703152,5.173206595487373,,,-10.799486541748047,,,"Yimi Garcia",12095,554340
2021,"Domingo Tapia","- - -",33.2,-6.986943807357397,,1.2288391590118408,,,-9.91832101581902,2.2470382833480835,,,,-7.345133155584335,,,"Domingo Tapia",12178,593619
2021,"Dan Winkler","CHC",39.2,-4.989720984350277,,-0.3336167954306566,,,-8.909378662109376,,4.334553037370954,,,-9.957551956176758,,,"Dan Winkler",12237,595465
2021,"Chris Bassitt","OAK",157.1,-4.848108894165305,,-0.01671157770378645,,,-9.770017233455881,8.21828463807398,7.558053945566153,,,-10.590169270833334,,,"Chris Bassitt",12304,605135
2021,"Spencer Patton","TEX",42.1,-5.991921276303392,,,-8.290305066464553,,-7.574014663696289,6.245813039787711,,,,,,,"Spencer Patton",12361,607359
2021,"Seth Lugo","NYM",46.1,-4.639684425210053,,,,,-9.501655997810783,1.4836988176618304,6.5093254676231975,,,-8.449696416440217,,,"Seth Lugo",12447,607625
2021,"Blake Treinen","LAD",72.1,-7.39865410037157,,-0.739923011965868,,,-11.100613606770834,6.497741063435872,,,,-9.02496337890625,,,"Blake Treinen",12572,595014
2021,"Ryne Harper","WSN",35.2,-0.41741097357965284,,,,,,5.708626140247691,7.468174876782718,6.845522696511788,,,,,"Ryne Harper",12680,607560
2021,"Trevor Bauer","LAD",107.2,-6.238472879931914,,2.3195427612937176,,,-8.877152928766215,9.12859666203878,,4.8313424682617185,,-9.754549716381316,,,"Trevor Bauer",12703,545333
2021,"Adrian Houser","MIL",142.1,-5.176663893687574,,,,,-9.439070522314376,2.7539867713437443,2.6794507856199727,,,-9.512336292486081,,,"Adrian Houser",12718,605288
2021,"Rafael Montero","- - -",49.1,-5.617904564323549,,,,,-9.239306222021053,3.566545114009338,,,,-9.381451087083645,,,"Rafael Montero",12760,606160
2021,"Sonny Gray","CIN",135.1,-1.28219259010171,,2.6105175018310547,,,-7.714119980258089,7.860228402273996,7.925787534808168,8.08709647438743,,-7.215575347075591,,,"Sonny Gray",12768,543243
2021,"Burch Smith","OAK",43.1,-4.7203418805206105,,1.3384602069854736,,,,1.0759305953979492,5.17584228515625,,,-7.6920948857846465,,,"Burch Smith",12784,572143
2021,"Noé Ramirez","- - -",36,-5.6617790960496475,,,,,,,6.552847806738798,,,-8.457030985396722,,,"Noe Ramirez",12800,598287
2021,"Matt Wisler","- - -",48.2,-5.6473708682590065,,,,,,4.996501447770979,,,,,,,"Matt Wisler",12804,605538
2021,"Andrew Kittredge","TBR",71.2,-0.4720552701216478,,,,,-9.563218575936776,3.7972122089050155,,,,-6.440396626790364,,,"Andrew Kittredge",12828,552640
2021,"Shawn Armstrong","- - -",36,-2.7433512963413875,,3.4194651240796112,,,,5.964463768935785,,,,,,,"Shawn Armstrong",12857,542888
2021,"Matt Barnes","BOS",54.2,-6.8110170322734715,,,,,,,,1.6033393774139748,,-10.197732925415039,,,"Matt Barnes",12863,598264
