Season,Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
2021,"Cole Irvin","OAK",178.1,90.75418295768169,,85.4923095703125,,,90.46628209786822,82.98788861146907,76.94269553195225,,,84.24379907682513,,,"Cole Irvin",19244,608344
2021,"Taylor Widener","ARI",70.1,92.55438571925217,,85.69999694824219,,,,83.95544954272808,79,,,85.58564140124199,,,"Taylor Widener",19266,642203
2021,"Justin Dunn","SEA",50.1,93.7031076388889,,,,,,84.0372077882752,80.19607282366071,,,89.48181707208806,,,"Justin Dunn",19268,643290
2021,"Jacob Webb","ATL",34.1,94.10276679841897,,,,,,,81.1905678803066,,,83.6473267533397,,,"Jacob Webb",19274,657097
2021,"Vladimir Gutierrez","CIN",114,93.21930997109827,,,,,92.90000406901042,83.2757793764988,77.61118255046584,,,81.42499651227679,,,"Vladimir Gutierrez",19278,661269
2021,"Zac Gallen","ARI",121.1,93.37906222271518,,90.26994332550578,,,93.30000135633681,86.17627228990114,,79.74712643678161,,86.10744985673352,,,"Zac Gallen",19291,668678
2021,"Trevor Richards","- - -",64.1,92.70697609530731,,,,,89.6500015258789,,84.3181827429569,79.64999389648438,,84.4873828125,,,"Trevor Richards",19309,670950
2021,"Cal Quantrill","CLE",149.2,94.35644381470476,,88.36880422445967,85.97500610351562,,94.30115295198962,87.30880257468553,81.25399993896484,,,84.97255458891956,,,"Cal Quantrill",19312,615698
2021,"Eric Lauer","MIL",118.2,92.55955893065268,,90.31260258009453,,,,87.35889499470339,78.86056217677157,,,86.61403024250566,,,"Eric Lauer",19316,641778
2021,"Joey Lucchesi","NYM",38.1,,,90.82381184895833,,,91.04406864126933,,78.67330880892479,,,81.5,,,"Joey Lucchesi",19320,664192
2021,"Dean Kremer","BAL",53.2,92.6153270415146,,87.2323548560049,,,89.4000015258789,83.86666870117188,75.52564102564102,,,82.91621357685811,,,"Dean Kremer",19350,665152
2021,"Corbin Burnes","MIL",167,96.32307942708333,,95.22367602323008,,,96.84602183577405,87.93916829427083,81.18577494692144,,,90.70762738453816,,,"Corbin Burnes",19361,669203
2021,"Keegan Akin","BAL",95,92.01909078264094,,,,,,84.13314318038545,76.37575924035275,,,81.88430147392805,,,"Keegan Akin",19362,669211
2021,"Walker Buehler","LAD",207.2,95.34932637401856,,91.54652811293437,,,95.31922743055556,84.84837962962963,,80.1358173076923,,91.47085834023179,,,"Walker Buehler",19374,621111
2021,"Tony Gonsolin","LAD",55.2,93.78356255425348,,,83.34929880541425,,,86.84452819824219,80.19999677285381,,,,,,"Tony Gonsolin",19388,664062
2021,"Dane Dunning","TEX",117.2,90.12726939808239,,85.90965386752424,,,90.36321769982726,79.8028564453125,,78.18314490157567,,84.5080306577874,,,"Dane Dunning",19409,641540
2021,"Shane Bieber","CLE",96.2,92.72401004061372,,88.13962079893868,,,,85.71164952531646,,83.13265207905545,,87.382861328125,,,"Shane Bieber",19427,669456
2021,"Patrick Sandoval","LAA",87,93.24022884206799,,,,,93.24647130576209,85.44738622458584,78.37671379193868,,,84.61592620206382,,,"Patrick Sandoval",19447,663776
2021,"Kyle Funkhouser","DET",68.1,95.80232274255087,,,,,95.48666687011719,86.70445791260445,,,,88.94348011846128,,,"Kyle Funkhouser",19456,608335
2021,"Bryan Garcia","DET",39.1,93.20000348772321,,,,,94.02119700748129,86.65440819300518,,,,85.79230769230769,,,"Bryan Garcia",19457,650530
2021,"Jorge Alcala","MIN",59.2,97.38348743310398,,,,,96.91131706957547,89.6980214954096,,,,89.96963252314815,,,"Jorge Alcala",19459,660896
2021,"Aaron Civale","CLE",124.1,91.40163186331776,,87.70649895178197,85.55719549005681,,91.8111714784264,83.4066388965708,77.01774193548387,,,,,,"Aaron Civale",19479,650644
2021,"Ryan Hendrix","CIN",31.2,96.33776488733906,,95.30000305175781,,,95.07142857142857,85.87743976220538,75.69999694824219,,,,,,"Ryan Hendrix",19535,641682
2021,"David Bednar","PIT",60.2,96.71036768234165,,,89.57927865932642,,,,77.48954190340909,,,,,,"David Bednar",19569,670280
2021,"Matt Foster","CHW",39,93.58790328023758,,90.49599609375,,,,85.19220525568181,,,,84.32926829268293,,,"Matt Foster",19647,641582
